Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Size,Color,Season,Review Rating,Subscription Status,Discount Applied,Previous Purchases
67,68,45,Male,Coat,Outerwear,33,L,Gray,Winter,4.4,Yes,Yes,49
68,69,57,Male,Handbag,Accessories,46,L,Silver,Summer,3.9,Yes,Yes,21
69,70,48,Male,Belt,Accessories,70,S,Cyan,Summer,4.4,Yes,Yes,5
70,71,22,Male,Belt,Accessories,29,M,Magenta,Fall,4.2,Yes,Yes,32
71,72,36,Male,Dress,Clothing,48,L,Gold,Summer,2.9,Yes,Yes,34
72,73,18,Male,Dress,Clothing,26,M,Olive,Winter,2.9,Yes,Yes,21
73,74,48,Male,Pants,Clothing,85,M,Teal,Spring,2.7,Yes,Yes,43
74,75,49,Male,Gloves,Accessories,58,L,Violet,Spring,4.5,Yes,Yes,3
75,76,64,Male,Scarf,Accessories,85,M,Blue,Summer,2.7,Yes,Yes,21
76,77,50,Male,Hat,Accessories,43,S,Teal,Summer,4.2,Yes,Yes,32
77,78,22,Male,Dress,Clothing,53,L,Gold,Summer,3.3,Yes,Yes,36
78,79,50,Male,Skirt,Clothing,91,M,Maroon,Spring,4.7,Yes,Yes,50
79,80,38,Male,Jacket,Outerwear,96,M,Olive,Winter,2.6,Yes,Yes,43
80,81,19,Male,Sandals,Footwear,72,XL,Blue,Summer,3.3,Yes,Yes,24
81,82,67,Male,Shoes,Footwear,96,L,Maroon,Summer,2.6,Yes,Yes,36
82,83,19,Male,Pants,Clothing,28,S,Olive,Spring,4.0,Yes,Yes,21
83,84,36,Male,Dress,Clothing,40,M,Turquoise,Summer,4.1,Yes,Yes,34
84,85,52,Male,Coat,Outerwear,32,S,Peach,Spring,4.4,Yes,Yes,42
85,86,53,Male,Sunglasses,Accessories,95,M,Charcoal,Winter,4.5,Yes,Yes,2
86,87,24,Male,Hoodie,Clothing,41,L,Pink,Spring,3.7,Yes,Yes,47
87,88,52,Male,Shoes,Footwear,53,M,Green,Fall,3.7,Yes,Yes,44
88,89,33,Male,T-shirt,Clothing,47,M,Orange,Fall,3.5,Yes,Yes,35
89,90,47,Male,Jacket,Outerwear,83,XL,Pink,Fall,3.6,Yes,Yes,15
90,91,25,Male,Hat,Accessories,48,L,Violet,Summer,2.9,Yes,Yes,29
91,92,44,Male,Scarf,Accessories,99,S,Green,Winter,4.6,Yes,Yes,18
92,93,61,Male,Jacket,Outerwear,87,M,Olive,Winter,4.4,Yes,Yes,13
93,94,37,Male,Sweater,Clothing,62,M,Purple,Fall,4.5,Yes,Yes,46
94,95,58,Male,Skirt,Clothing,76,S,Silver,Spring,4.6,Yes,Yes,28
95,96,37,Male,Sneakers,Footwear,100,L,Pink,Fall,3.8,Yes,Yes,48
96,97,32,Male,Gloves,Accessories,73,S,Gold,Spring,3.6,Yes,Yes,43
97,98,21,Male,Shoes,Footwear,92,M,Teal,Winter,4.8,Yes,Yes,37
98,99,20,Male,Jeans,Clothing,67,XL,Teal,Spring,2.6,Yes,Yes,20
99,100,26,Male,Hoodie,Clothing,40,XL,Indigo,Summer,3.7,Yes,Yes,33
100,101,62,Male,Sunglasses,Accessories,98,M,Maroon,Fall,2.7,Yes,Yes,31
101,102,27,Male,Coat,Outerwear,85,XL,White,Spring,4.6,Yes,Yes,50
102,103,51,Male,Socks,Clothing,67,L,Violet,Winter,4.8,Yes,Yes,35
103,104,54,Male,Boots,Footwear,89,L,Red,Winter,4.0,Yes,Yes,22
104,105,55,Male,Sunglasses,Accessories,24,L,Pink,Spring,4.4,Yes,Yes,1
105,106,69,Male,Backpack,Accessories,96,M,Charcoal,Fall,3.6,Yes,Yes,4
106,107,64,Male,Jacket,Outerwear,35,L,White,Summer,3.7,Yes,Yes,31
107,108,28,Male,Sneakers,Footwear,67,L,Olive,Winter,3.1,Yes,Yes,46
108,109,70,Male,Socks,Clothing,79,L,Purple,Spring,3.4,Yes,Yes,32
109,110,58,Male,T-shirt,Clothing,85,M,Violet,Spring,2.6,Yes,Yes,43
110,111,56,Male,Backpack,Accessories,26,M,Black,Summer,4.0,Yes,Yes,26
111,112,26,Male,Belt,Accessories,75,L,Purple,Summer,5.0,Yes,Yes,9
112,113,37,Male,Gloves,Accessories,65,M,Red,Spring,4.3,Yes,Yes,28
113,114,44,Male,Hat,Accessories,54,L,Maroon,Winter,3.1,Yes,Yes,20
114,115,70,Male,Coat,Outerwear,95,S,Blue,Summer,3.7,Yes,Yes,9
115,116,53,Male,Skirt,Clothing,94,M,Gray,Spring,3.8,Yes,Yes,48
116,117,55,Male,Shoes,Footwear,86,S,Blue,Spring,3.4,Yes,Yes,12
117,118,50,Male,Sandals,Footwear,32,L,Yellow,Summer,4.6,Yes,Yes,29
118,119,50,Male,Sweater,Clothing,45,L,Orange,Fall,4.8,Yes,Yes,27
119,120,38,Male,Coat,Outerwear,76,M,Orange,Fall,4.3,Yes,Yes,44
120,121,64,Male,Hat,Accessories,84,L,Red,Summer,4.0,Yes,Yes,32
121,122,19,Male,Shorts,Clothing,72,M,Olive,Winter,4.2,Yes,Yes,11
122,123,40,Male,Backpack,Accessories,40,L,Brown,Spring,4.8,Yes,Yes,44
123,124,57,Male,Sweater,Clothing,89,L,Brown,Fall,3.1,Yes,Yes,46
124,125,44,Male,Sweater,Clothing,86,M,Gray,Spring,3.1,Yes,Yes,50
125,126,49,Male,Shorts,Clothing,54,M,Indigo,Winter,3.6,Yes,Yes,45
126,127,43,Male,Shorts,Clothing,36,L,Pink,Spring,3.9,Yes,Yes,48
127,128,24,Male,Sweater,Clothing,89,M,Gray,Winter,4.8,Yes,Yes,26
128,129,20,Male,Scarf,Accessories,32,M,Gold,Spring,4.7,Yes,Yes,21
129,130,24,Male,Dress,Clothing,67,XL,Olive,Summer,4.2,Yes,Yes,49
130,131,44,Male,Scarf,Accessories,39,L,Violet,Fall,3.7,Yes,Yes,13
131,132,28,Male,Skirt,Clothing,29,L,Indigo,Summer,3.9,Yes,Yes,46
132,133,30,Male,Backpack,Accessories,58,M,Orange,Fall,4.7,Yes,Yes,42
133,134,52,Male,Sweater,Clothing,65,M,Violet,Winter,2.5,Yes,Yes,25
134,135,43,Male,Hat,Accessories,94,L,Gray,Fall,4.9,Yes,Yes,25
135,136,43,Male,Sandals,Footwear,81,M,Purple,Fall,4.1,Yes,Yes,12
136,137,39,Male,Blouse,Clothing,86,M,White,Winter,3.3,Yes,Yes,4
137,138,68,Male,Sneakers,Footwear,43,M,Turquoise,Spring,4.7,Yes,Yes,38
138,139,68,Male,Skirt,Clothing,29,M,Maroon,Winter,4.4,Yes,Yes,42
139,140,49,Male,Coat,Outerwear,95,M,White,Fall,3.8,Yes,Yes,30
140,141,63,Male,Shirt,Clothing,28,L,Yellow,Fall,3.9,Yes,Yes,50
141,142,56,Male,Gloves,Accessories,46,M,Turquoise,Fall,4.9,Yes,Yes,45
142,143,37,Male,Jacket,Outerwear,58,L,Violet,Fall,3.1,Yes,Yes,33
143,144,30,Male,Coat,Outerwear,48,M,Beige,Fall,2.7,Yes,Yes,25
144,145,19,Male,Shoes,Footwear,43,M,Silver,Fall,3.2,Yes,Yes,25
145,146,24,Male,Jewelry,Accessories,95,M,Teal,Fall,4.5,Yes,Yes,44
146,147,52,Male,Skirt,Clothing,30,S,Black,Fall,4.0,Yes,Yes,21
147,148,63,Male,Shoes,Footwear,64,M,Purple,Summer,3.5,Yes,Yes,31
148,149,37,Male,Gloves,Accessories,90,M,Gray,Fall,2.6,Yes,Yes,47
149,150,38,Male,Pants,Clothing,76,M,White,Summer,3.2,Yes,Yes,14
150,151,35,Male,Boots,Footwear,96,L,Cyan,Fall,4.9,Yes,Yes,17
151,152,28,Male,Sunglasses,Accessories,47,L,Turquoise,Fall,4.5,Yes,Yes,3
152,153,30,Male,Shirt,Clothing,85,S,Brown,Summer,4.3,Yes,Yes,42
153,154,69,Male,Hoodie,Clothing,55,M,Maroon,Winter,3.2,Yes,Yes,22
154,155,41,Male,Dress,Clothing,98,M,Charcoal,Fall,3.6,Yes,Yes,21
155,156,63,Male,Socks,Clothing,77,S,Olive,Spring,4.3,Yes,Yes,21
156,157,35,Male,Shorts,Clothing,26,M,Lavender,Fall,4.0,Yes,Yes,40
157,158,36,Male,Hat,Accessories,68,S,Yellow,Fall,3.0,Yes,Yes,1
158,159,25,Male,Shirt,Clothing,73,XL,Teal,Fall,4.1,Yes,Yes,50
159,160,58,Male,Gloves,Accessories,27,M,Charcoal,Fall,3.8,Yes,Yes,39
160,161,27,Male,Gloves,Accessories,23,M,Orange,Summer,4.6,Yes,Yes,34
161,162,65,Male,Backpack,Accessories,49,M,Olive,Fall,3.0,Yes,Yes,29
162,163,54,Male,Sunglasses,Accessories,74,M,Turquoise,Summer,3.0,Yes,Yes,31
163,164,54,Male,Skirt,Clothing,67,M,Purple,Summer,3.4,Yes,Yes,8
164,165,59,Male,Handbag,Accessories,65,S,Purple,Spring,2.6,Yes,Yes,5
165,166,42,Male,Handbag,Accessories,60,S,Yellow,Winter,2.8,Yes,Yes,7
166,167,46,Male,Sneakers,Footwear,31,XL,Indigo,Fall,4.0,Yes,Yes,30
167,168,33,Male,Gloves,Accessories,27,M,Green,Fall,4.0,Yes,Yes,14
168,169,34,Male,Shoes,Footwear,80,M,Magenta,Summer,3.0,Yes,Yes,5
169,170,27,Male,Jacket,Outerwear,30,S,Gold,Summer,3.3,Yes,Yes,3
170,171,52,Male,Shirt,Clothing,25,M,Maroon,Fall,2.6,Yes,Yes,46
171,172,29,Male,Shorts,Clothing,35,M,Blue,Summer,3.6,Yes,Yes,4
172,173,54,Male,Jewelry,Accessories,67,M,Violet,Summer,3.9,Yes,Yes,42
173,174,25,Male,Hat,Accessories,46,M,Turquoise,Fall,3.4,Yes,Yes,30
174,175,41,Male,Shoes,Footwear,35,L,Brown,Winter,3.5,Yes,Yes,37
175,176,53,Male,Coat,Outerwear,86,L,Violet,Fall,2.8,Yes,Yes,2
176,177,53,Male,Backpack,Accessories,81,L,Black,Spring,2.7,Yes,Yes,30
177,178,21,Male,Hoodie,Clothing,42,L,Magenta,Fall,3.7,Yes,Yes,47
178,179,61,Male,Skirt,Clothing,43,L,Lavender,Fall,4.3,Yes,Yes,21
179,180,64,Male,Boots,Footwear,31,M,Violet,Fall,4.9,Yes,Yes,9
180,181,51,Male,Sandals,Footwear,81,L,Green,Fall,3.3,Yes,Yes,12
181,182,32,Male,Pants,Clothing,61,M,Beige,Summer,4.7,Yes,Yes,4
182,183,38,Male,Gloves,Accessories,96,XL,Purple,Summer,2.8,Yes,Yes,10
183,184,58,Male,Skirt,Clothing,29,XL,Beige,Spring,3.6,Yes,Yes,26
184,185,32,Male,Sneakers,Footwear,33,L,Cyan,Spring,3.0,Yes,Yes,40
185,186,46,Male,T-shirt,Clothing,32,XL,Silver,Summer,4.5,Yes,Yes,34
186,187,39,Male,Backpack,Accessories,56,S,Lavender,Summer,2.9,Yes,Yes,31
187,188,19,Male,Shoes,Footwear,94,S,Purple,Spring,3.3,Yes,Yes,1
188,189,50,Male,Hoodie,Clothing,53,M,Pink,Spring,3.1,Yes,Yes,5
189,190,36,Male,Blouse,Clothing,82,M,Maroon,Fall,4.4,Yes,Yes,4
190,191,65,Male,Coat,Outerwear,70,XL,Beige,Fall,3.0,Yes,Yes,48
191,192,64,Male,Hat,Accessories,76,M,Gray,Fall,3.9,Yes,Yes,29
192,193,46,Male,Shoes,Footwear,29,L,Turquoise,Summer,2.9,Yes,Yes,12
193,194,36,Male,Belt,Accessories,100,S,Silver,Fall,3.0,Yes,Yes,29
194,195,51,Male,Backpack,Accessories,94,M,Olive,Spring,3.1,Yes,Yes,15
195,196,51,Male,Jacket,Outerwear,25,M,Magenta,Fall,4.3,Yes,Yes,34
196,197,38,Male,Boots,Footwear,88,M,Lavender,Summer,3.9,Yes,Yes,41
197,198,59,Male,Scarf,Accessories,78,M,Black,Fall,3.2,Yes,Yes,41
198,199,57,Male,Jewelry,Accessories,45,M,Turquoise,Winter,4.8,Yes,Yes,39
199,200,54,Male,Hat,Accessories,73,XL,Green,Summer,3.8,Yes,Yes,32
200,201,25,Male,Dress,Clothing,61,S,Teal,Summer,3.3,Yes,Yes,29
201,202,69,Male,Blouse,Clothing,22,S,Beige,Fall,4.3,Yes,Yes,15
202,203,57,Male,Hat,Accessories,38,L,Magenta,Spring,2.7,Yes,Yes,33
203,204,70,Male,Scarf,Accessories,38,S,Yellow,Fall,3.2,Yes,Yes,18
204,205,24,Male,Sneakers,Footwear,100,M,Yellow,Fall,4.0,Yes,Yes,35
205,206,67,Male,Shirt,Clothing,64,M,Silver,Winter,3.0,Yes,Yes,25
206,207,24,Male,T-shirt,Clothing,55,L,Silver,Summer,4.2,Yes,Yes,6
207,208,62,Male,Gloves,Accessories,91,M,Silver,Summer,2.9,Yes,Yes,17
208,209,57,Male,Skirt,Clothing,38,M,Gold,Spring,4.1,Yes,Yes,17
209,210,55,Male,Sandals,Footwear,97,S,Olive,Winter,3.2,Yes,Yes,44
210,211,45,Male,Jacket,Outerwear,22,L,Teal,Fall,3.0,Yes,Yes,6
211,212,69,Male,Skirt,Clothing,92,L,Maroon,Fall,4.2,Yes,Yes,45
212,213,67,Male,Handbag,Accessories,84,L,Blue,Fall,4.2,Yes,Yes,7
213,214,30,Male,Handbag,Accessories,93,L,Peach,Fall,4.4,Yes,Yes,11
214,215,24,Male,Jacket,Outerwear,50,L,Blue,Summer,4.2,Yes,Yes,41
215,216,62,Male,Scarf,Accessories,64,S,Orange,Spring,2.8,Yes,Yes,24
216,217,43,Male,Shorts,Clothing,61,L,Yellow,Spring,3.7,Yes,Yes,21
217,218,35,Male,Sunglasses,Accessories,48,M,Purple,Winter,3.5,Yes,Yes,24
218,219,28,Male,T-shirt,Clothing,45,S,Magenta,Spring,2.9,Yes,Yes,8
219,220,32,Male,Belt,Accessories,88,M,Cyan,Spring,3.0,Yes,Yes,12
220,221,39,Male,Sneakers,Footwear,57,S,Indigo,Spring,3.7,Yes,Yes,48
221,222,28,Male,Hat,Accessories,68,XL,Magenta,Summer,4.4,Yes,Yes,6
222,223,47,Male,Gloves,Accessories,94,XL,Gray,Spring,4.5,Yes,Yes,14
223,224,20,Male,Pants,Clothing,41,M,Turquoise,Spring,4.8,Yes,Yes,34
224,225,63,Male,Socks,Clothing,83,S,Beige,Summer,2.9,Yes,Yes,12
225,226,25,Male,Jacket,Outerwear,22,M,Olive,Spring,3.2,Yes,Yes,11
226,227,29,Male,Shoes,Footwear,74,L,Violet,Spring,3.3,Yes,Yes,5
227,228,50,Male,Jeans,Clothing,90,M,Turquoise,Winter,4.2,Yes,Yes,25
228,229,18,Male,Socks,Clothing,79,M,White,Spring,2.9,Yes,Yes,11
229,230,70,Male,Sandals,Footwear,28,S,Silver,Spring,4.6,Yes,Yes,27
230,231,66,Male,Scarf,Accessories,88,L,Olive,Fall,4.1,Yes,Yes,43
231,232,28,Male,Blouse,Clothing,26,M,Blue,Spring,3.1,Yes,Yes,18
232,233,54,Male,Jewelry,Accessories,27,L,Purple,Winter,4.2,Yes,Yes,32
233,234,19,Male,Sweater,Clothing,83,XL,Yellow,Fall,4.5,Yes,Yes,27
234,235,20,Male,Gloves,Accessories,39,S,Silver,Summer,3.7,Yes,Yes,24
235,236,43,Male,Sunglasses,Accessories,89,M,Cyan,Winter,3.7,Yes,Yes,31
236,237,38,Male,Coat,Outerwear,68,L,Green,Winter,3.4,Yes,Yes,39
237,238,50,Male,Dress,Clothing,90,M,Beige,Summer,3.0,Yes,Yes,36
238,239,64,Male,Skirt,Clothing,34,M,Peach,Fall,4.2,Yes,Yes,5
239,240,49,Male,Pants,Clothing,51,L,Yellow,Summer,2.9,Yes,Yes,47
240,241,47,Male,Sweater,Clothing,45,XL,Turquoise,Winter,3.5,Yes,Yes,29
241,242,36,Male,Hoodie,Clothing,88,M,Peach,Winter,4.1,Yes,Yes,43
242,243,55,Male,Coat,Outerwear,85,L,Gray,Summer,4.3,Yes,Yes,40
243,244,25,Male,Jewelry,Accessories,100,M,Olive,Winter,2.8,Yes,Yes,4
244,245,53,Male,Belt,Accessories,42,S,Indigo,Spring,4.9,Yes,Yes,39
245,246,49,Male,Sandals,Footwear,53,L,Charcoal,Summer,3.3,Yes,Yes,45
246,247,35,Male,Sunglasses,Accessories,86,XL,Beige,Spring,3.2,Yes,Yes,20
247,248,29,Male,Sweater,Clothing,66,XL,Brown,Spring,4.4,Yes,Yes,14
248,249,47,Male,Belt,Accessories,100,M,Blue,Winter,4.8,Yes,Yes,33
249,250,53,Male,Handbag,Accessories,47,S,Teal,Fall,4.2,Yes,Yes,18
250,251,33,Male,Skirt,Clothing,25,L,Black,Fall,4.0,Yes,Yes,9
251,252,21,Male,Handbag,Accessories,51,XL,Gold,Winter,2.5,Yes,Yes,34
252,253,32,Male,Shorts,Clothing,41,M,Violet,Summer,3.9,Yes,Yes,33
253,254,52,Male,Boots,Footwear,73,L,Cyan,Winter,4.9,Yes,Yes,15
254,255,67,Male,Sunglasses,Accessories,42,M,White,Winter,3.5,Yes,Yes,4
255,256,43,Male,Scarf,Accessories,20,M,Charcoal,Spring,4.2,Yes,Yes,25
256,257,58,Male,Jewelry,Accessories,30,XL,Violet,Spring,4.7,Yes,Yes,20
257,258,20,Male,Handbag,Accessories,53,M,Red,Summer,4.5,Yes,Yes,5
258,259,61,Male,Gloves,Accessories,74,S,Lavender,Spring,2.8,Yes,Yes,16
259,260,32,Male,Jeans,Clothing,57,M,Gold,Fall,2.9,Yes,Yes,13
260,261,38,Male,Hat,Accessories,57,S,Red,Winter,3.2,Yes,Yes,11
261,262,21,Male,Jeans,Clothing,77,L,Magenta,Winter,4.9,Yes,Yes,21
262,263,37,Male,Pants,Clothing,40,M,Teal,Summer,3.7,Yes,Yes,6
263,264,27,Male,Shorts,Clothing,46,M,Purple,Summer,4.3,Yes,Yes,29
264,265,36,Male,Pants,Clothing,78,S,Charcoal,Fall,3.9,Yes,Yes,15
265,266,32,Male,Backpack,Accessories,59,M,Gray,Spring,3.2,Yes,Yes,17
266,267,51,Male,Jewelry,Accessories,75,L,White,Summer,3.1,Yes,Yes,32
267,268,64,Male,Sweater,Clothing,54,M,Olive,Spring,3.9,Yes,Yes,42
268,269,68,Male,Shoes,Footwear,42,M,Charcoal,Spring,2.6,Yes,Yes,21
269,270,68,Male,Blouse,Clothing,44,M,Charcoal,Winter,3.3,Yes,Yes,9
270,271,33,Male,Jeans,Clothing,52,XL,Orange,Fall,4.6,Yes,Yes,16
271,272,65,Male,Sunglasses,Accessories,69,XL,Yellow,Summer,4.6,Yes,Yes,42
272,273,48,Male,Jewelry,Accessories,26,M,Beige,Summer,4.4,Yes,Yes,37
273,274,69,Male,Coat,Outerwear,33,S,Silver,Spring,4.2,Yes,Yes,32
274,275,59,Male,Jewelry,Accessories,32,M,Indigo,Spring,3.0,Yes,Yes,28
275,276,48,Male,Backpack,Accessories,85,XL,Lavender,Winter,4.0,Yes,Yes,13
276,277,25,Male,Skirt,Clothing,30,XL,Turquoise,Fall,3.5,Yes,Yes,11
277,278,29,Male,Shirt,Clothing,29,M,Green,Winter,3.0,Yes,Yes,36
278,279,57,Male,Sweater,Clothing,95,M,Orange,Spring,3.7,Yes,Yes,23
279,280,23,Male,Sneakers,Footwear,69,L,Turquoise,Summer,4.0,Yes,Yes,37
280,281,45,Male,Sandals,Footwear,69,S,Cyan,Fall,4.2,Yes,Yes,21
281,282,38,Male,Belt,Accessories,61,XL,Charcoal,Spring,2.5,Yes,Yes,22
282,283,21,Male,Skirt,Clothing,94,M,Teal,Summer,3.0,Yes,Yes,9
283,284,32,Male,Sweater,Clothing,30,S,Maroon,Fall,3.2,Yes,Yes,16
284,285,63,Male,Skirt,Clothing,45,M,Red,Summer,3.5,Yes,Yes,4
285,286,29,Male,Handbag,Accessories,39,XL,Yellow,Summer,4.8,Yes,Yes,3
286,287,27,Male,Jewelry,Accessories,51,L,Gray,Summer,2.6,Yes,Yes,6
287,288,56,Male,Scarf,Accessories,37,L,Blue,Spring,3.4,Yes,Yes,18
288,289,30,Male,T-shirt,Clothing,62,M,Lavender,Winter,3.7,Yes,Yes,34
289,290,49,Male,Coat,Outerwear,85,M,Yellow,Fall,4.5,Yes,Yes,26
290,291,58,Male,T-shirt,Clothing,33,M,Indigo,Winter,3.7,Yes,Yes,50
291,292,57,Male,Dress,Clothing,26,XL,Violet,Fall,3.3,Yes,Yes,40
292,293,60,Male,Shoes,Footwear,99,M,Green,Spring,4.7,Yes,Yes,24
293,294,69,Male,Handbag,Accessories,39,M,White,Spring,2.7,Yes,Yes,33
294,295,70,Male,Skirt,Clothing,20,M,Gold,Spring,4.6,Yes,Yes,19
295,296,53,Male,Sunglasses,Accessories,42,M,Indigo,Winter,2.7,Yes,Yes,24
296,297,25,Male,Sandals,Footwear,74,S,Lavender,Spring,4.8,Yes,Yes,19
297,298,48,Male,Shoes,Footwear,26,XL,Purple,Summer,4.4,Yes,Yes,4
298,299,69,Male,T-shirt,Clothing,53,M,Lavender,Winter,4.0,Yes,Yes,11
299,300,25,Male,Sneakers,Footwear,80,M,Maroon,Summer,3.2,Yes,Yes,28
300,301,29,Male,Hat,Accessories,98,M,Teal,Spring,4.4,Yes,Yes,24
301,302,46,Male,Skirt,Clothing,95,M,Green,Spring,3.8,Yes,Yes,25
302,303,37,Male,Sweater,Clothing,44,L,Olive,Summer,3.6,Yes,Yes,27
303,304,20,Male,Sandals,Footwear,60,M,Turquoise,Summer,3.3,Yes,Yes,49
304,305,40,Male,Dress,Clothing,84,M,Green,Winter,3.4,Yes,Yes,45
